,movieNm,rankAtt_1,audiCntAtt_1,showCntAtt_1
1140,이미테이션 게임,0,-52221,-218
1142,백 투 더 비기닝,-1,11658,-366
1143,기생수 파트1,1,8659,-88
1145,순수의 시대,-1,35810,200
1150,헬머니,1,7353,-53
1152,버드맨,-1,8886,137
1153,채피,-1,25331,395
1154,스물,9,-103164,-4592
1156,신데렐라,7,-15846,-1989
1159,런 올 나이트,0,9573,87
1160,인서전트,6,-13508,-1747
1162,분노의 질주: 더 세븐,0,41999,-422
1164,장수상회,6,-40078,-3013
1167,차이나타운,8,-129308,-2059
1172,어벤져스: 에이지 오브 울트론,8,-319298,-8124
1173,위험한 상견례 2,7,-44419,-1300
1174,악의 연대기,8,-85321,-4038
1175,언프렌디드: 친구삭제,-1,12683,-183
1176,연애의 맛,1,-2893,5
1177,간신,6,-41626,-2809
1180,무뢰한,3,-21183,-1994
1182,투모로우랜드,0,8715,-559
1183,은밀한 유혹,5,-6561,-1571
1187,연평해전,8,-212369,-4120
1190,샌 안드레아스,0,25735,-380
1191,극비수사,8,-136056,-3534
1192,경성학교: 사라진 소녀들,6,-21201,-2138
1193,나의 절친 악당들,1,-7126,-1131
1194,소수의견,2,-18742,-1513
1195,19곰 테드 2,1,3196,83
1196,터미네이터 제니시스,-1,119120,598
1197,손님,5,-34782,-2257
1201,인시디어스 3,1,-10075,-202
1202,암살,9,-399151,-6947
1205,픽셀,0,29802,286
1207,베테랑,7,-399641,-5219
1209,미쓰 와이프,4,-39749,-1518
1210,뷰티 인사이드,6,-83936,-2651
1213,"협녀, 칼의 기억",1,-16397,-1634
1214,판타스틱 4,-2,46007,502
1215,치외법권,0,26739,288
1216,아메리칸 울트라,-1,19708,149
1217,함정,6,-14028,-1354
1219,메이즈 러너: 스코치 트라이얼,7,-77064,-3678
1220,앤트맨,0,81076,-26
1221,오피스,0,24716,119
1222,사도,8,-140534,-6199
1226,탐정 : 더 비기닝,6,-319652,-2942
1227,서부전선,1,-83523,-1587
1228,에베레스트,1,-46081,-746
1229,마션,9,-126778,-4753
1231,인턴,0,-118555,-261
1233,성난 변호사,-1,45981,349
1234,팬,-1,10447,552
1235,특종: 량첸살인기,7,-33412,-3030
1236,트랜스포터: 리퓰드,-2,9845,151
1237,그놈이다,7,-49313,-2913
1239,스파이 브릿지,8,-13972,-1318
1241,하늘을 걷는 남자,1,5108,81
1243,검은 사제들,8,-223617,-5117
1246,더 셰프,0,6820,294
1248,내부자들,9,-248007,-4367
1250,007 스펙터,0,106630,-110
1252,헝거게임: 더 파이널,1,8879,-1291
1254,열정같은소리하고있네,8,-34605,-2322
1256,도리화가,4,-17175,-1843
