,rankAtt_1,audiCntAtt_1,showCntAtt_1,movieNm
1029,2,-16202,-284,오큘러스
1031,-2,-7929,708,말레피센트
1032,2,-11558,-1539,우는 남자
1033,1,-11358,-1341,하이힐
1034,1,-15947,-2207,엣지 오브 투모로우
1035,0,17913,-391,황제를 위하여
1036,0,347356,1329,트랜스포머: 사라진 시대
1037,7,-107378,-3198,신의 한 수
1039,1,-5477,-217,소녀괴담
1040,-2,18747,927,좋은 친구들
1045,0,63999,-357,혹성탈출: 반격의 서막
1046,5,-173333,-3727,군도: 민란의 시대
1049,-2,39742,1137,주온 : 끝의 시작
1050,6,-697518,-6760,명량
1054,6,-225417,-3623,해적: 바다로 간 산적
1056,4,-47436,-1632,해무(海霧)
1058,4,-30147,-916,"안녕, 헤이즐"
1059,8,-350494,-3366,타짜-신의 손
1060,-3,64016,1128,인투 더 스톰
1062,-5,45296,2168,닌자터틀
1064,8,-190424,-2143,두근두근 내 인생
1065,-2,-21781,15,루시
1066,-2,-30567,67,스텝 업: 올 인
1069,9,-73992,-3034,메이즈 러너
1070,-2,18933,1003,툼스톤
1073,4,-117840,-2224,제보자
1074,1,-71593,-1259,애나벨
1076,2,-17303,-897,마담 뺑덕
1078,-2,10215,1206,슬로우 비디오
1079,6,-63018,-2832,나의 사랑 나의 신부
1081,0,32772,-355,드라큘라: 전설의 시작
1082,5,-3250,-693,나의 독재자
1084,0,-775,-86,나를 찾아줘
1085,-1,30153,393,우리는 형제입니다
1086,-1,18395,944,레드카펫
1087,4,-15850,-1059,카트
1090,-1,14288,922,패션왕
1092,4,-44704,-1717,퓨리
1093,3,-21759,-1376,헝거게임: 모킹제이
1094,4,-30763,-1694,빅매치
1096,7,-214920,-4256,국제시장
1100,1,-5744,-603,덕수리 5형제
1101,8,-53331,-2387,엑소더스: 신들과 왕들
1103,-1,11433,220,사랑에 대한 모든 것
1107,1,3565,117,"러브, 로지"
1110,8,-108206,-2771,기술자들
1112,-2,98346,503,호빗: 다섯 군대 전투
1114,2,-41205,-1671,상의원
1116,-2,36573,270,숲속으로
1118,4,-10064,-977,패딩턴
1121,1,77901,-462,테이큰 3
1123,0,8278,165,언브로큰
1125,0,1924,75,워킹걸
1127,0,46871,-240,오늘의 연애
1128,0,18942,362,허삼관
1130,0,704,68,박물관이 살아있다 : 비밀의 무덤
1131,0,-3899,-25,아메리칸 스나이퍼
1133,0,58873,-174,강남 1970
1134,0,37065,234,내 심장을 쏴라
1135,0,11596,228,워터 디바이너
1137,-3,26471,391,주피터 어센딩
1138,-1,-34644,-142,조선명탐정 : 사라진 놉의 딸
1139,1,-88758,-706,킹스맨 : 시크릿 에이전트
1140,0,-52221,-218,이미테이션 게임
1142,-1,11658,-366,백 투 더 비기닝
1143,1,8659,-88,기생수 파트1
1145,-1,35810,200,순수의 시대
1150,1,7353,-53,헬머니
1152,-1,8886,137,버드맨
1153,-1,25331,395,채피
1154,9,-103164,-4592,스물
1156,7,-15846,-1989,신데렐라
1159,0,9573,87,런 올 나이트
1160,6,-13508,-1747,인서전트
1162,0,41999,-422,분노의 질주: 더 세븐
1164,6,-40078,-3013,장수상회
1167,8,-129308,-2059,차이나타운
1172,8,-319298,-8124,어벤져스: 에이지 오브 울트론
1173,7,-44419,-1300,위험한 상견례 2
1174,8,-85321,-4038,악의 연대기
1175,-1,12683,-183,언프렌디드: 친구삭제
1176,1,-2893,5,연애의 맛
1177,6,-41626,-2809,간신
1180,3,-21183,-1994,무뢰한
1182,0,8715,-559,투모로우랜드
1183,5,-6561,-1571,은밀한 유혹
1187,8,-212369,-4120,연평해전
1190,0,25735,-380,샌 안드레아스
1191,8,-136056,-3534,극비수사
1192,6,-21201,-2138,경성학교: 사라진 소녀들
1193,1,-7126,-1131,나의 절친 악당들
1194,2,-18742,-1513,소수의견
1195,1,3196,83,19곰 테드 2
1196,-1,119120,598,터미네이터 제니시스
1197,5,-34782,-2257,손님
1201,1,-10075,-202,인시디어스 3
1202,9,-399151,-6947,암살
1205,0,29802,286,픽셀
1207,7,-399641,-5219,베테랑
1209,4,-39749,-1518,미쓰 와이프
1210,6,-83936,-2651,뷰티 인사이드
1213,1,-16397,-1634,"협녀, 칼의 기억"
1214,-2,46007,502,판타스틱 4
1215,0,26739,288,치외법권
1216,-1,19708,149,아메리칸 울트라
1217,6,-14028,-1354,함정
1219,7,-77064,-3678,메이즈 러너: 스코치 트라이얼
1220,0,81076,-26,앤트맨
1221,0,24716,119,오피스
1222,8,-140534,-6199,사도
1226,6,-319652,-2942,탐정 : 더 비기닝
1227,1,-83523,-1587,서부전선
1228,1,-46081,-746,에베레스트
1229,9,-126778,-4753,마션
1231,0,-118555,-261,인턴
1233,-1,45981,349,성난 변호사
1234,-1,10447,552,팬
1235,7,-33412,-3030,특종: 량첸살인기
1236,-2,9845,151,트랜스포터: 리퓰드
1237,7,-49313,-2913,그놈이다
1239,8,-13972,-1318,스파이 브릿지
1241,1,5108,81,하늘을 걷는 남자
1243,8,-223617,-5117,검은 사제들
1246,0,6820,294,더 셰프
1248,9,-248007,-4367,내부자들
1250,0,106630,-110,007 스펙터
1252,1,8879,-1291,헝거게임: 더 파이널
1254,8,-34605,-2322,열정같은소리하고있네
1256,4,-17175,-1843,도리화가
1257,0,4329,34,하트 오브 더 씨
1259,-1,16185,124,극적인 하룻밤
1261,9,-176298,-4854,히말라야
1263,5,-61645,-2966,대호
1265,-1,18261,184,레전드
1267,6,-91864,-4171,스타워즈: 깨어난 포스
1269,4,-16557,-1347,구스범스
1271,-3,94403,991,조선마술사
1273,-3,350096,960,셜록: 유령신부
1274,0,35546,264,나를 잊지 말아요
